WORDS,FREQ
0,2.0
1,2.0
10,16.0
10th,18.0
11th,9.0
1200,9.0
12th,9.0
16,2.0
1cr22cs177,9.0
1st,18.0
2,2.0
20,2.0
2003,9.0
2015,4.0
2016,6.0
2017,2.0
2018,4.0
2019,11.0
2020,2.0
2021,9.0
2022,9.0
2023,9.0
2024,9.0
2025,90.0
2026,9.0
203,4.0
2500,9.0
281,4.0
3,10.0
33,6.0
36,9.0
3rd,9.0
4,9.0
40,2.0
4th,11.0
5,11.0
55,2.0
560037,18.0
5th,11.0
6,6.0
68,9.0
6th,9.0
7,22.0
74,4.0
75007,2.0
75013,2.0
8,9.0
87,2.0
8th,4.0
91,9.0
9242242393,9.0
95,9.0
96,9.0
<<<<<<< HEAD,0.0
=======,0.0
>>>>>>> f5d77ca6bf9ee142e8625d0da5f5140497ddd45d,0.0
ability,18.0
ac,18.0
academic,10.0
accessibility,9.0
accessible,8.0
accomplishment,2.0
accountability,3.0
accurate,8.0
achievement,18.0
acquire,2.0
across,4.0
active,35.0
activity,40.0
actor,4.0
actuarial,4.0
actuary,4.0
adaptability,3.0
additional,18.0
address,18.0
advance,2.0
advanced,8.0
advantage,2.0
aec,9.0
affective,11.0
aiish,9.0
aim,9.0
algorithm,13.0
algorithmic,4.0
align,1.0
allow,18.0
alongside,1.0
aloud,8.0
already,2.0
also,29.0
always,6.0
ambassador,9.0
ambitious,9.0
among,4.0
analysis,12.0
analytical,4.0
analyze,9.0
anatomy,2.0
android,2.0
andwinter,9.0
anomaly,2.0
anonymous,19.0
apart,2.0
api,9.0
app,2.0
application,51.0
apply,15.0
appropriate,2.0
apps,16.0
april,2.0
apticode,9.0
aptitude,9.0
architecture,16.0
arena,9.0
art,2.0
article,4.0
artistry,4.0
ask,4.0
asset,4.0
assist,9.0
assistant,2.0
assistive,9.0
assitive,9.0
attend,2.0
attention,6.0
audio,17.0
august,2.0
autonomy,1.0
availability,9.0
available,4.0
award,9.0
aware,10.0
away,1.0
aws,1.0
azure,1.0
bachelor,22.0
backend,10.0
badminton,9.0
band,4.0
bangalore,9.0
bank,30.0
barrault,2.0
base,42.0
basic,3.0
beautifulsoup,17.0
become,4.0
beginning,2.0
belief,4.0
believe,10.0
benefit,2.0
bengaluru,18.0
best,16.0
beyond,4.0
bharath,9.0
bi,9.0
big,4.0
birth,9.0
bit,9.0
blog,4.0
blogging,9.0
bootstrap,1.0
bowling,9.0
bring,1.0
broad,4.0
brookfield,18.0
browser,8.0
build,12.0
bullet,2.0
business,9.0
c,3.0
call,6.0
camille,4.0
camp,4.0
campus,9.0
capability,8.0
car,2.0
career,25.0
case,8.0
cash,9.0
cd,1.0
center,2.0
ceo,1.0
ch,2.0
challenge,14.0
challenging,4.0
chance,4.0
charge,18.0
chat,17.0
chatting,9.0
chess,18.0
chikkmagalur,9.0
choose,2.0
ci,1.0
city,4.0
clarification,2.0
class,29.0
classroom,8.0
clear,1.0
client,4.0
clinical,2.0
closely,4.0
cloud,1.0
club,27.0
cluster,2.0
cmr,9.0
cmrit,27.0
cnn,22.0
cnns,9.0
co,18.0
cod,9.0
code,28.0
coder,9.0
coliving,9.0
collaborate,9.0
college,9.0
com,60.0
combine,10.0
command,9.0
commit,9.0
committee,2.0
communicate,3.0
communication,28.0
company,6.0
companyname,9.0
compatibility,8.0
competed,9.0
competency,9.0
competition,2.0
competitive,40.0
competitiveness,4.0
complete,5.0
complex,9.0
compose,8.0
composing,1.0
computer,23.0
computing,11.0
conception,4.0
concise,2.0
concurrent,8.0
conduct,27.0
conductedmultiple,9.0
confidence,1.0
confident,1.0
confront,2.0
connection,8.0
consensus,4.0
consider,16.0
consistently,4.0
consolation,9.0
constant,4.0
contact,6.0
contain,2.0
content,12.0
context,8.0
continent,4.0
continue,1.0
continuous,9.0
contribute,9.0
contributor,9.0
control,10.0
conversation,8.0
convince,4.0
coordinated,9.0
coordination,1.0
coordinator,9.0
cope,4.0
corporate,6.0
could,4.0
course,2.0
cover,26.0
covet,2.0
coveted,2.0
cpanel,1.0
craft,4.0
crave,2.0
create,4.0
creation,4.0
creative,9.0
credential,4.0
cricket,9.0
critical,3.0
cross,8.0
crowfunding,2.0
crucial,5.0
cs,17.0
culture,2.0
curious,2.0
currently,22.0
curricular,36.0
customer,3.0
customize,2.0
cut,2.0
dart,1.0
data,29.0
database,10.0
dataset,1.0
date,9.0
dauphine,4.0
dbldn,2.0
de,2.0
dear,12.0
debug,9.0
decide,7.0
decine,2.0
decisiveness,3.0
dedicate,4.0
dedicated,9.0
dedication,4.0
deep,21.0
deepen,2.0
define,4.0
degree,6.0
delay,1.0
delegate,1.0
delivering,4.0
delivery,8.0
demonstrate,15.0
demonstrated,9.0
dependency,1.0
deploy,8.0
deployed,1.0
deployment,9.0
derivative,8.0
description,29.0
design,27.0
designation,9.0
designer,8.0
detail,18.0
detection,11.0
deutsche,30.0
dev,8.0
develop,45.0
developed,9.0
developer,40.0
development,18.0
devops,1.0
different,8.0
difficult,1.0
difficulty,2.0
digital,11.0
dipl,2.0
directadminwebaccess,1.0
disconnect,8.0
discover,2.0
discussion,8.0
disposal,4.0
distributed,9.0
diversity,4.0
division,4.0
dl,2.0
do,2.0
docker,1.0
doctorate,2.0
document,2.0
docx,11.0
doubt,2.0
downloaded,16.0
draw,4.0
drive,9.0
duality,4.0
duration,9.0
duty,2.0
e,8.0
earlier,4.0
early,2.0
ec2,1.0
eclipse,1.0
economic,2.0
ecosystem,5.0
ecr,1.0
edge,2.0
editing,9.0
education,18.0
effectively,3.0
efficient,1.0
effort,3.0
eliminate,8.0
email,66.0
embryology,2.0
emotion,48.0
emotionally,8.0
emphasize,1.0
employment,2.0
enable,18.0
encounter,1.0
engage,4.0
engaged,9.0
engineer,1.0
engineering,43.0
english,9.0
enhance,18.0
ensure,35.0
enter,4.0
enthusiasm,4.0
entirely,8.0
entirety,2.0
entrepreneurship,2.0
environment,8.0
ephemeral,8.0
equity,8.0
essential,6.0
even,15.0
event,18.0
ever,2.0
example,4.0
excellence,8.0
excellent,4.0
exhibition,9.0
exist,8.0
exotic,4.0
expand,4.0
experience,30.0
expertise,1.0
explain,2.0
express,26.0
extra,18.0
extraction,4.0
f,4.0
fabien,14.0
face,1.0
facial,21.0
far,2.0
fastapi,9.0
fatality,2.0
favourable,4.0
feature,9.0
feedback,3.0
feel,7.0
field,10.0
figma,1.0
finance,6.0
financial,16.0
firm,4.0
first,22.0
fit,2.0
five,4.0
flask,21.0
floor,4.0
flutter,3.0
focus,34.0
focused,2.0
focusing,2.0
follow,4.0
following,2.0
formally,1.0
formascience,2.0
format,8.0
forward,4.0
foundation,9.0
framework,1.0
france,2.0
free,5.0
french,2.0
friendly,9.0
full,1.0
fully,10.0
functionality,10.0
g,2.0
gain,4.0
game,32.0
gender,9.0
generale,4.0
genetics,2.0
geneva,2.0
geospatial,2.0
get,13.0
git,9.0
github,44.0
give,5.0
global,6.0
gmail,6.0
go,2.0
goal,2.0
good,11.0
google,1.0
grab,2.0
graduate,14.0
grant,9.0
graph,8.0
gratify,4.0
great,2.0
group,20.0
growth,15.0
gtts,17.0
guide,10.0
guideline,2.0
gynecology,2.0
hackathon,45.0
hackathons,18.0
hackathonwinter,9.0
hackerearth,18.0
hand,1.0
handle,19.0
handling,1.0
happy,20.0
hard,6.0
hat,9.0
hear,2.0
hec,2.0
hello,33.0
help,2.0
hesitate,2.0
high,16.0
highlight,5.0
highly,14.0
hill,18.0
hindhi,9.0
hiring,6.0
hobby,9.0
holiday,1.0
honesty,4.0
honour,4.0
hope,4.0
hospital,2.0
html,17.0
http,53.0
https,11.0
humaine,2.0
human,9.0
humility,6.0
hundred,4.0
hybrid,2.0
hyderabad,9.0
id,9.0
idea,13.0
illustrate,4.0
imapaired,9.0
imaplib,17.0
immense,1.0
impact,8.0
impactful,9.0
impaired,18.0
implement,17.0
implemented,8.0
important,6.0
importantly,2.0
impress,4.0
improve,12.0
improved,1.0
include,6.0
inclusivity,1.0
increase,2.0
increasingly,2.0
incredible,2.0
incub8,9.0
independence,8.0
indexing,1.0
indian,9.0
individual,4.0
individually,16.0
industry,9.0
information,31.0
infrastructure,3.0
inhackspark,9.0
initiative,1.0
inmock,9.0
innokia,9.0
innovate,2.0
innovation,8.0
innovative,9.0
innovator,9.0
input,11.0
inspire,7.0
instance,4.0
instant,8.0
institute,9.0
institution,4.0
instructor,2.0
insurance,4.0
integrate,19.0
integration,9.0
intellectual,4.0
intelligent,8.0
intellij,9.0
intensive,2.0
interact,8.0
interaction,18.0
interactive,8.0
interdepartmental,9.0
interest,6.0
interested,2.0
interface,10.0
intern,13.0
internship,38.0
interpersonal,4.0
intership,2.0
interview,4.0
intrinsic,4.0
introduce,2.0
involve,4.0
io,24.0
ios,1.0
issue,2.0
j,72.0
january,9.0
java,9.0
javascript,18.0
jenkins,1.0
job,8.0
join,8.0
joined,2.0
journey,2.0
jupyter,1.0
kali,1.0
kannada,9.0
karnataka,9.0
keep,6.0
kera,11.0
key,4.0
kingdom,2.0
know,4.0
knowledge,8.0
kundalahalli,18.0
l,6.0
laboratory,2.0
land,2.0
landmark,2.0
language,2.0
languages,9.0
large,3.0
lately,16.0
latency,8.0
launch,2.0
lausanne,8.0
layout,9.0
lead,9.0
leadership,8.0
learn,16.0
learning,38.0
least,4.0
leave,15.0
lecture,4.0
lederman,6.0
leetcode,27.0
lesson,2.0
let,2.0
letter,22.0
letterpe,2.0
lettersummer,2.0
lettrepe,6.0
level,3.0
leverage,19.0
library,1.0
librosa,9.0
life,2.0
like,14.0
linguistic,9.0
linkedin,27.0
linux,1.0
lionel,4.0
list,2.0
live,9.0
load,8.0
london,10.0
long,4.0
look,2.0
loomky,4.0
low,8.0
lstm,18.0
m,4.0
machine,6.0
madam,6.0
mailto,13.0
main,2.0
maintain,15.0
maintainability,8.0
make,2.0
male,9.0
manage,8.0
management,1.0
manager,7.0
mandatory,4.0
manoj,18.0
manojsvgit,54.0
many,6.0
market,26.0
mary,9.0
master,10.0
masv22ise,18.0
match,4.0
mathematical,2.0
matter,3.0
maximum,4.0
may,13.0
md,2.0
meaningfully,9.0
measurable,2.0
medical,8.0
medicine,2.0
meet,8.0
member,5.0
memoir,2.0
message,28.0
method,2.0
microsoft,13.0
migration,2.0
mindedness,4.0
mine,2.0
minimize,1.0
minute,2.0
miss,2.0
mistake,2.0
mobile,26.0
modality,9.0
model,11.0
modeling,2.0
mongodb,11.0
monitor,16.0
month,17.0
morale,3.0
motivate,5.0
move,6.0
much,2.0
multidisciplinary,2.0
multimodal,12.0
music,4.0
mutual,4.0
myblog,6.0
mysql,9.0
n,6.0
name,4.0
nationality,9.0
natural,10.0
nearryanschool,9.0
need,8.0
never,3.0
new,10.0
next,2.0
nitk,9.0
nlp,2.0
nltk,9.0
node,27.0
non,10.0
nosql,2.0
notebook,1.0
number,2.0
numerous,4.0
objective,18.0
observer,4.0
obstetrics,2.0
obtain,8.0
october,4.0
offer,2.0
office,5.0
often,3.0
oncology,2.0
one,14.0
open,13.0
opencv,9.0
operate,17.0
operating,8.0
opportunity,16.0
optimization,2.0
optimize,8.0
orchestra,4.0
order,4.0
organization,1.0
organized,9.0
otcex,4.0
outcome,20.0
outlook,4.0
outside,8.0
outstanding,4.0
overall,4.0
ownership,3.0
p,4.0
paris,14.0
paristech,6.0
parkqwik,9.0
parrot,9.0
parse,8.0
part,26.0
participate,45.0
participation,9.0
particular,4.0
partitioning,1.0
passion,4.0
past,2.0
peer,18.0
people,4.0
perceive,2.0
perform,4.0
performance,17.0
permanent,9.0
perrin,4.0
personal,20.0
pg,9.0
phd,6.0
phone,4.0
pioneer,9.0
pitch,9.0
place,20.0
placement,9.0
plan,1.0
platform,23.0
playback,8.0
player,18.0
please,6.0
pleasure,4.0
point,4.0
portfolio,4.0
position,10.0
positive,10.0
post,2.0
postgresql,1.0
power,9.0
precise,4.0
preferred,2.0
prepare,2.0
present,16.0
presentation,4.0
pressure,4.0
pretend,2.0
priority,1.0
privacy,9.0
prize,18.0
problem,9.0
processing,4.0
product,6.0
productivity,2.0
profession,4.0
professional,13.0
program,4.0
programme,4.0
programming,27.0
programminghackathon,9.0
progress,21.0
project,114.0
promising,4.0
promote,9.0
protocol,9.0
proven,9.0
provide,15.0
pu,9.0
public,11.0
puraskar,9.0
pursue,15.0
pursuit,4.0
put,4.0
pyglet,17.0
python,36.0
qualification,18.0
qualify,2.0
quality,12.0
quantitative,2.0
query,1.0
question,16.0
r,6.0
rajya,9.0
ral,2.0
rank,8.0
raphael,6.0
rds,1.0
reach,2.0
react,17.0
read,12.0
readability,8.0
reading,1.0
ready,3.0
real,40.0
realise,4.0
realize,3.0
reassessed,1.0
recamier,2.0
receive,9.0
recent,4.0
recently,4.0
recognition,39.0
recognize,1.0
recommend,8.0
recruiting,2.0
recruitment,2.0
refer,2.0
regard,10.0
regular,1.0
reinforce,4.0
reliability,9.0
remain,4.0
remarkable,4.0
render,9.0
rental,2.0
representative,9.0
require,4.0
research,2.0
resolve,1.0
respect,2.0
respective,4.0
response,8.0
responsibility,31.0
result,2.0
resume,11.0
retrieve,8.0
review,18.0
revise,1.0
rewarding,4.0
right,4.0
risk,3.0
rnns,2.0
road,18.0
routing,8.0
rue,4.0
ryan,9.0
s3,1.0
sabbatical,2.0
sahay,9.0
sai,9.0
saicolivingpg,9.0
sakleshpur,9.0
sale,6.0
say,2.0
scalability,10.0
scenario,6.0
schedule,1.0
school,24.0
science,48.0
scientific,4.0
scientist,2.0
score,4.0
scout,9.0
seamless,10.0
secure,39.0
seek,6.0
selective,4.0
self,2.0
semester,9.0
send,9.0
senior,1.0
sentiment,8.0
september,8.0
series,2.0
serve,27.0
server,8.0
service,7.0
servlets,1.0
session,9.0
set,11.0
share,6.0
shashwat,9.0
short,2.0
show,4.0
showcase,2.0
side,2.0
significantly,1.0
simplify,9.0
simultaneously,8.0
since,34.0
sincerely,8.0
sir,6.0
sit,2.0
situation,2.0
six,4.0
sixth,2.0
skill,36.0
small,1.0
smooth,16.0
smtplib,17.0
snooker,9.0
societe,4.0
soft,1.0
software,10.0
soltuion,9.0
solution,17.0
solve,9.0
solving,9.0
sound,2.0
source,9.0
space,2.0
speak,16.0
speaker,2.0
special,2.0
specific,7.0
speech,18.0
speechrecognition,17.0
sport,18.0
sql,2.0
st,9.0
stack,27.0
stage,2.0
standard,31.0
start,5.0
startup,9.0
state,2.0
statistic,6.0
step,4.0
stimulating,2.0
storage,1.0
store,8.0
strasbourg,2.0
strength,1.0
strengthen,4.0
strong,13.0
strongly,2.0
structure,9.0
student,47.0
studio,2.0
study,26.0
submission,1.0
success,3.0
successfully,1.0
suggestion,2.0
suite,1.0
summary,4.0
summer,21.0
support,1.0
surathkal,9.0
svce,9.0
svm,2.0
swing,1.0
switzerland,2.0
synergy,4.0
synonymous,2.0
system,48.0
tackle,2.0
take,32.0
talented,4.0
tamil,9.0
task,3.0
taste,4.0
teach,8.0
team,60.0
teammember,9.0
teamplaced,9.0
teamwork,2.0
tech,36.0
technical,61.0
technicality,4.0
technique,11.0
technological,9.0
technology,38.0
technomeet,9.0
techxcelerate,9.0
telecom,9.0
tensorflow,11.0
term,4.0
test,9.0
text,33.0
textual,9.0
thank,4.0
thanks,4.0
theory,2.0
therefore,8.0
thing,2.0
think,10.0
though,1.0
thouly,4.0
three,12.0
thrill,4.0
throughout,4.0
thus,6.0
time,64.0
timeline,1.0
title,27.0
together,1.0
tool,12.0
top,25.0
topic,2.0
trace,8.0
tracking,9.0
trade,4.0
trading,12.0
train,1.0
trait,3.0
transaction,4.0
transcription,8.0
travel,4.0
tulu,9.0
u,24.0
ubuntu,8.0
ui,8.0
unanswered,2.0
unexpected,1.0
unified,9.0
uninterrupted,8.0
united,2.0
university,14.0
update,10.0
upon,2.0
urgency,1.0
use,56.0
user,54.0
utilize,1.0
utmost,4.0
ux,8.0
v,28.0
valuable,4.0
value,8.0
vast,2.0
vaudoise,4.0
veamly,2.0
version,9.0
video,20.0
violin,4.0
vision,10.0
visit,4.0
visual,18.0
visualization,17.0
visually,27.0
vivadata,2.0
vocal,9.0
voice,44.0
wanago,2.0
want,2.0
way,6.0
web,34.0
web3forms,2.0
webhosting,9.0
websockets,18.0
welcome,2.0
well,11.0
whispernet,9.0
willing,4.0
window,9.0
without,8.0
word,2.0
word2vec,9.0
work,71.0
working,2.0
workload,1.0
workspace,1.0
world,9.0
would,18.0
write,4.0
www,18.0
xception,18.0
year,14.0
york,4.0
young,4.0
